epoch,step,test_direction_accuracy,test_loss,test_mae,test_mse,test_r2,test_rmse,train_direction_accuracy,train_loss,train_mae,train_mse,train_r2,train_rmse,val_direction_accuracy,val_loss,val_mae,val_mse,val_r2,val_rmse
35,779,,,,,,,0.524193525314331,1.4629521369934082,1.6479381322860718,5.181426048278809,-0.016184687614440918,2.2762746810913086,,,,,,
35,789,,,,,,,0.48535871505737305,1.4262033700942993,1.609728217124939,4.480509281158447,-0.024263858795166016,2.1167213916778564,,,,,,
35,791,,,,,,,,,,,,,0.4677917957305908,2.2136356830596924,2.405991792678833,10.83547592163086,-0.035178519785404205,3.1456410884857178
36,799,,,,,,,0.4740307331085205,1.9074735641479492,2.0990450382232666,7.691447734832764,-0.031139612197875977,2.773345947265625,,,,,,
36,809,,,,,,,0.5091575384140015,1.6012223958969116,1.7874013185501099,5.714024543762207,-0.006979823112487793,2.3904025554656982,,,,,,
36,813,,,,,,,,,,,,,0.4677917957305908,2.213599681854248,2.4059667587280273,10.835134506225586,-0.035174280405044556,3.1456172466278076
37,819,,,,,,,0.4803493618965149,1.929661750793457,2.1196069717407227,8.070796012878418,-0.016440629959106445,2.840914726257324,,,,,,
37,829,,,,,,,0.5631424188613892,1.594834566116333,1.780741810798645,5.764648914337158,-0.005999207496643066,2.400968313217163,,,,,,
37,835,,,,,,,,,,,,,0.4677917957305908,2.2138562202453613,2.406184434890747,10.837721824645996,-0.035391904413700104,3.1459548473358154
38,836,0.5480690002441406,2.096536159515381,2.2893424034118652,9.615250587463379,-0.09225520491600037,3.0731096267700195,,,,,,,,,,,,
